Date,AAPL,MSFT,JNJ,V,TGT,PG,UNH,NVDA,HD,DIS,BBY,PYPL,BAC,VZ,CMCSA,ADBE,NFLX
2017-08-21,157.21,71.786654676259,131.80241043708,103.22,56.56,92.16566319896,191.30597778001,158.98303842607,148.31903403437,101.17,60.09373374935,59.4,23.263051271363,48.14,40.6334347453,149.26,166.76
2017-08-22,159.78,72.791568345324,133.03697778849,104.07,56.54,92.096186605982,194.05557158657,162.51,149.02484177005,102.77,61.425836366788,60.84,23.710800333472,48.35,41.181189380347,152.25,169.34
2017-08-23,159.98,72.353784172662,131.16043541434,103.18,56.46,91.748803641092,193.50764528454,165.8,148.21962449413,101.5,61.734009360374,60.04,23.641150479366,48.28,40.48404711756,151.1,169.06
2017-08-24,159.27,72.323935251799,131.24932426364,103.22,54.21,91.580074772432,194.01572240097,165.19,147.37464340211,101.52,61.435777431097,60.0,23.72075031263,48.31,39.976129183244,150.81,168.13
2017-08-25,159.86,72.45328057554,130.88389232762,103.35,55.01,91.81828023407,193.62719284134,163.81,148.76637696543,102.41,61.505364881262,59.97,23.651100458524,48.68,40.03588423434,151.45,165.95
2017-08-28,161.47,72.463230215827,130.94352958111,103.78,54.44,91.778579323797,194.35444047858,164.97,150.49610296557,102.56,62.101828739816,60.53,23.601350562734,48.61,40.175312686897,151.79,167.12
2017-08-29,162.91,72.682122302158,131.41068806679,103.77,54.55,91.629700910273,195.98825708828,164.7,149.84,102.57,54.695735829433,61.01,23.462050854523,48.51,39.996047533609,152.14,168.81
2017-08-30,163.35,73.637287769784,130.27758025047,103.73,54.32,91.183065669701,195.14146189423,165.68,150.0,102.87,53.870627491766,61.77,23.87,48.12,40.653353095665,153.67,174.69
2017-08-31,164.0,74.393460431655,131.56972074277,103.52,54.53,91.580074772432,198.1500754072,169.44,149.87,101.2,53.940214941931,61.68,23.89,47.97,40.444210416829,155.16,174.71
2017-09-01,164.05,73.56764028777,130.23782208147,103.9,56.22,91.838130689207,198.99687060125,170.46,150.78,101.5,54.158918356734,61.46,24.09,47.92,40.897352887641,155.06,174.74
